user_name,final_utility_score
희희호호418,100.0
홍시맛이나서홍시라생각한것이온데,100.0
호잇1679,100.0
호야두비,100.0
Booboo80,100.0
BSE89,100.0
헬레나2413,100.0
햐니꾸르,100.0
플라톤바름논술교습소,100.0
트리스타아,100.0
트리니티녀,100.0
토마토맛툐,100.0
킴슈,100.0
코코슈카92,100.0
코몽키,100.0
쵸파랑,100.0
착한악마9744,100.0
찌니뚜뚜,100.0
쮸물이,100.0
Flavor2,100.0
Eveev,100.0
Dpfkdlckaso,100.0
지미페티옹,100.0
지니주니1,100.0
지니20904,100.0
제이다랜드,100.0
정민규8340,100.0
일곱개별들,100.0
이플뷰티효진원장,100.0
이경은5798,100.0
유수3141,100.0
울산키위,100.0
옹알이72,100.0
온6868,100.0
KAKTOS,100.0
IFeelU,100.0
오쀼,100.0
여름밤222,100.0
얼음공주엘싸,100.0
양 치기소년,100.0
얄루루루룰,100.0
알뜰나무,100.0
아쿠아비테,100.0
아중아중,100.0
아쑥떡,100.0
아메리카노못먹는사람,100.0
아니죠,100.0
아 니,100.0
쑥이4279,100.0
슈퍼스타일olivia,100.0
술람미의삶이주는선물,100.0
수영열씸히,100.0
수연6345,100.0
수박냠냠이,100.0
소소한마르,100.0
소금이얌,100.0
Or수라발발Er,100.0
LebenO,100.0
서진원7673,100.0
사령관76,100.0
뿌뿌의취향,100.0
뽀로로5431,100.0
빽가언니,100.0
브이엔쥬,100.0
불꽃꼬미,100.0
별53,100.0
벨902,100.0
반지사랑,100.0
Seri27,100.0
Picnic2,100.0
민들레2967,100.0
미조라이프,100.0
미쓔쓔,100.0
물빛꿈93,100.0
물고기1113,100.0
몽상가2486,100.0
메롱89,100.0
맛집헌터리,100.0
맛집좋아합니다,100.0
맛모르는미식가,100.0
마음이 따뜻한이,100.0
레나6197,100.0
럽미S2,100.0
랑랑452,100.0
라이더팽,100.0
Yooooooooooooooo,100.0
따라단 따라단66,100.0
디카페인하비스트,100.0
둠칫둠칫42,100.0
동동마리아,100.0
도롱이101,100.0
도담엄마26,100.0
데일리예일리,100.0
댕753159,100.0
대지갈비,100.0
닭ddong2,100.0
달토끼lim,100.0
달콤한 인생77,100.0
단호박찜카스테라,100.0
단아한 동은,100.0
다우닝29,100.0
aysakura,100.0
arrrrrmi,100.0
냥이파부두목,100.0
내꼬야2,100.0
나스뇽,100.0
뀰깡,100.0
꾹꾹쯉쯉하악,100.0
꽃보다아름다웡,100.0
꼬망76,100.0
깐깐새댁,100.0
김도희8980,100.0
기가막힌연주,100.0
금작가,100.0
chaeryy,100.0
brbbibbi,100.0
구영댁,100.0
구르미87,100.0
관이39,100.0
곰탱이4290,100.0
곰구리37,100.0
고근,100.0
경8124,100.0
건강하게 행복할께,100.0
ㅋㅋ55,100.0
ㅇ이ㅇㅁ,100.0
za****,100.0
yunzzi23,100.0
ys****,100.0
wkd****,100.0
dai****,100.0
chu00,100.0
uk****,100.0
swe****,100.0
sunmoon21824,100.0
sudaj,100.0
sseul99,100.0
sjh****,100.0
simgang11,100.0
shy****,100.0
sfsf,100.0
sej****,100.0
rqkrj,100.0
qooqoo1124,100.0
pudding54,100.0
po0****,100.0
dy****,100.0
dus****,100.0
dud****,100.0
donna41863,100.0
pbc****,100.0
ooa****,100.0
onlyrose7,100.0
onenini,100.0
nea****,100.0
mon****,100.0
momo50,100.0
lse****,100.0
liebe9096,100.0
lge****,100.0
kkh****,100.0
kim1223,100.0
eom****,100.0
ell****,100.0
educhang,100.0
dyd****,100.0
jie****,100.0
jiavely,100.0
hara208,100.0
goe****,100.0
goa****,100.0
후니2059,100.0
3sncyw,100.0
30324,100.0
2mulv,100.0
0306227,100.0
깜빡이는폼이아니다,99.95
Jiu82,99.6
HHJ5396,99.58
wkdgydnjs16,99.58
디피카,99.37
행복한토끼야,99.35
lls****,99.08
Glan,98.94
울산 곰돌이,98.69
복덩이61,98.66
맛나게살고즐겁게먹자,98.65
KIMMYkim,98.3
묜님,98.3
미니멀라이프111,98.27
화이트9713,98.27
jerry4034,98.27
돌돌이 콩콩이,98.16
따봄,98.07
kmi****,98.07
mis****,97.87
래트맨,97.74
써미5,97.1
ghg****,97.06
즐겁게살자용,96.89
효덩,96.83
주닺,96.68
뚜리맘5165,96.64
이석배37,96.43
현지3443,96.43
임하은95,96.26
마법고동,96.22
뚜덩35,96.22
김태호032,96.22
곰검곰,96.22
ㅂㅈㅇ93,96.01
영수증에진심,95.93
shh****,95.91
욱이단링17,95.83
뿡뿡67,95.61
a mming,95.52
안녕하새우123,95.5
gihun1106,95.39
쥴리지아니,95.08
지성팕,94.99
호빵77,94.99
psj****,94.99
ui****,94.95
좋은장소의 조명 습도 온도,94.79
도리공쥬,94.75
ksy****,94.69
챔챈니,94.5
오즈니,94.46
이징2,94.46
libvly,94.27
레게파티8,94.23
룰루랄라배고팡,94.23
soy2101,94.0
놀라운 새우초밥,94.0
우나무나,93.84
현이2495,93.77
안단테76,93.7
내공도둑,93.68
똥글마미00,93.6
플필뭐하지,93.54
갸우뚱밈미,93.5
박경민49,93.3
here i am,93.3
매일맑음91,93.07
짱미야,93.01
짜빠게팅,92.83
개똥마녀,92.59
성운4791,92.57
아직뽀로로인가봐노는게제일좋아,92.45
찌들이랑놀기,92.06
hyo****,91.87
Royal Group,91.86
HolmesCooked,91.86
rla****,91.43
박나영4395,91.36
math2048,91.31
pjr****,91.11
minzi99,91.05
미호프,90.95
먹깨비기록,90.8
ram****,90.79
sct****,90.79
romiyun99,90.77
twoface97,90.66
싹싹한고양이,90.61
탐험가 루미,90.47
als****,90.42
천하무적영,90.33
DY9561,90.3
유부장,90.09
날으는박찌,90.09
곰팅잉24,90.05
나떠나,89.84
펄럭이는회전문,89.55
windflow77,89.31
커비4614,89.25
별다방0,89.08
The cloud,89.05
Laraaa,89.05
코코하리,89.02
먹이를찾는티벳여우,88.84
니나노765,88.81
olliver471197,88.56
eil****,88.56
일자몸,88.56
자몽에이드80,88.52
chan0070,88.52
Happyyy19,88.27
doo****,88.25
노란찜13,88.19
par****,88.16
kgt****,88.01
예닌닌,87.75
Stella Shin89,87.7
엘피좋아요,87.64
상미4221,87.46
세상곳곳에,87.43
쩌매겅주,87.43
여기저기 사방팔방,87.34
dlekqls8995,87.27
지비니이,87.22
착한돼지82,87.02
디옹31,87.0
흰색 도마뱀,86.72
채음2,86.71
워니1367,86.6
kim****,86.59
0그냥아는오빠0,86.49
o잘살아보세o,86.42
lsh222,86.38
맛zip onel,86.32
겸이겨미,86.25
달빛처럼9,86.14
윈디오렌지25,86.03
선별된 맛집 리스트,85.84
쪼꼬 미,85.8
나김소동,85.75
초코홀릭83,85.74
먀후,85.54
jn2640,85.46
하또로,85.46
도피망치,85.44
헤이걸36,85.36
naivehan,85.18
동동ll93,85.18
멋찐그녀,85.04
pespion,84.97
ckd****,84.89
50원도소중해,84.54
l초코초코l,84.4
클레어데인지,84.3
하니하니64,84.22
마라보나,84.01
꿈꾸는조나단,84.01
스윙서퍼,84.01
쑵니109,84.01
안뽀송,83.97
양구20,83.71
오픈더도아,83.52
j88****,83.41
Bt53,83.41
룰루랄라45,83.41
매일이맛집여행,83.23
빅트리,83.15
별빛현이,83.11
문건희232,83.11
메두사,82.93
Monica Jang,82.82
경이2566,82.63
jyj****,82.55
메롱롱20,82.54
석철쑤,82.51
또치615,82.46
종이길,82.41
솔직 담백하게,82.41
꿀꿀415,82.33
맛태롱,82.21
lIllllIIll,82.21
kimhl99,82.15
껌딱한결,82.13
ELLIStour,81.9
쪄이주니,81.9
헬로우드림 데이지95,81.85
혜리35,81.76
마녀7394,81.55
럭키차차,81.51
래서판다00,81.49
ssoing22,81.28
웰코마스크,81.28
LJY5,81.21
simple919,81.04
조옌33,80.97
Wls1024,80.81
mir****,80.71
캔디9261,80.5
yoo****,80.5
힛ㅎㅎㅎㅎ,80.44
유진호0213,80.43
까스활,80.34
에그타르티,80.34
챔챔2야,80.19
tjd****,80.03
지니대기,80.02
ljy****,79.88
칼리코,79.71
말하는감자,79.71
Noahhyoon,79.71
썬데이9,79.71
유크짱11,79.71
웅2닷,79.65
SPIRIT61,79.65
Maru16,79.45
홍련 79,79.41
늘333,79.41
fer****,79.39
지현9080,79.24
cute20th,79.24
ang****,79.14
sun****,79.07
맘비세스,79.06
zid****,79.06
v양이v,79.06
kimkyol13,79.01
재영130,78.93
galikku,78.78
쭈기53,78.74
bluesky2007,78.74
토렌츠,78.73
고요68,78.66
mic****,78.61
the말랑,78.45
choiye,78.41
fbwls6776,78.41
lil****,78.23
whd****,78.15
choi 00,78.09
hyyune,78.09
hyunju10,77.81
uan****,77.78
mjs****,77.76
지우717,77.76
jn-****,77.76
sailormoon1004,77.68
뽜이,77.63
냠1096,77.63
후르츠92,77.5
똔똔222,77.43
뽀뭉이,77.43
jsy****,77.18
쟉은공쥬,77.1
잼니000,77.1
맛있게무거도,77.1
캐서린쌤,76.77
AA맘,76.65
브라우니8722,76.53
리뷰쟁이애엄마,76.53
nl****,76.43
clo****,76.43
Do it89,76.42
라쿤84,76.33
lie****,76.32
MSG65,76.26
윤가맘,75.98
블라썸그린티,75.98
이나영62,75.98
polmi,75.88
honey6437,75.87
bakhalbae,75.75
sonamu99,75.75
맛에는진심,75.75
sh3****,75.75
말랑이51,75.7
모든것에진심,75.7
jsh****,75.41
멍멍핑,75.41
빠라삐리뽀2132,75.41
오리꽥꽥59,75.41
intro0930,75.41
냐냐4153,75.33
RALL,75.31
데자뷰혼,75.2
핑크나라,75.2
skr****,75.09
될놈999,75.07
날아보자32,75.05
sms98,74.97
아침호랑이61,74.97
샤이걸35,74.94
헤어스타일리스트남수,74.92
미기9378,74.78
박기한,74.72
왕자임미다,74.72
다올잉,74.72
밍쵸리,74.69
이곳저곳느낌,74.68
hj471,74.63
eun****,74.44
강주l,74.38
ruy****,74.29
201****,74.14
lok****,74.03
정COS,73.94
똑똑씨33,73.68
qor****,73.6
Kang Yoon Woo 강아람,73.5
lycoslsj,73.41
포뇨15,73.36
라에몬,73.33
만두지니둥이,73.33
복아추,73.22
자바비,73.22
포도5915,73.08
yel****,73.06
바이올렛40,73.03
ghs****,72.98
여행인플루언서윤디,72.9
lyh****,72.9
chcho4,72.9
gle****,72.71
삼우54,72.55
boo****,72.5
꽃향기123,72.49
유원종86,72.47
이구하나,72.44
Sofly,72.38
건성김첨지,72.3
우유881,72.27
주화입마,72.27
yuuu****,72.27
IvorY,72.16
The영,72.03
Owen93,71.91
장제현 소리샘 국악,71.91
sym****,71.87
na_****,71.84
vlfehr2oo1,71.77
l0vemeforevermore,71.77
전문담당,71.55
che****,71.55
kji****,71.55
음15,71.49
jdnjsry39,71.49
푸루루후,71.38
wbn0714,71.38
lyynee,71.34
거뮛,71.25
예르71,71.19
효빈45,71.19
jin****,71.11
띠로리요,70.93
nan****,70.93
나냥4787,70.88
예랑8356,70.83
emp****,70.83
맛집여행자 햅틱,70.83
벨라7888,70.78
후힣,70.77
mgc****,70.77
연두72,70.74
정이4643,70.68
흑당486,70.47
rma****,70.46
아미산 날다람쥐,70.46
red****,70.43
sen****,70.33
seaste,70.31
sil****,70.3
혜야41,70.19
ONEWON,70.05
CLTK72,70.05
susn,70.05
lee****,70.03
행940,69.73
jho****,69.68
요구르트에빨대콕,69.57
son****,69.36
홍앤영,69.27
피오르드,69.24
쏭쏭언니88,69.21
우주인마미,69.1
bj****,68.9
박후들,68.78
춘식이는네코,68.64
에릭1286,68.61
창하79,68.61
안녕하세요잉니예요,68.61
SOM,68.61
ett****,68.24
min****,68.14
Woow26,68.13
탑스카이82,67.99
효꽁쓰,67.86
챠밍초이,67.86
kie****,67.86
달3078,67.8
영 이,67.71
황씨네,67.71
blias,67.57
ins****,67.46
토끼요정,67.46
지니3609,67.44
파랑새7189,67.12
vv0nnn8,67.11
이뽕쥬알,67.11
비단여우32,67.08
무거동큰손,67.07
25센트,67.07
emg****,67.05
안가리는한식러버,66.94
트랜드빔,66.86
jyh****,66.79
ksn****,66.79
뚱끼똥끼,66.72
sor****,66.72
wls****,66.71
bea****,66.71
aien78,66.71
부자가 되고 싶어83,66.68
이삐3763,66.65
apr****,66.59
suum1,66.34
테테21,66.34
아라리5959,66.34
hr****,66.34
두루미가어디있나요,66.34
꼬순꼬지,66.33
에에에에7125,66.27
이승현789,66.15
콩이맨,66.15
ana****,66.15
러시아 불곰,66.14
로맨티스트28,65.96
솔비언니,65.96
__________31,65.96
엘모44,65.96
awe****,65.94
김준서8163,65.94
나이마,65.87
asa****,65.68
Creater96,65.6
sss****,65.57
Lovely8312,65.57
JJiny1157,65.57
yss****,65.57
ldh2184,65.57
쨍미뇽,65.56
뭉개파스98,65.54
빠나나우유77,65.18
티람57,65.18
나는야043,65.18
지연7815,65.16
루루누누휘,65.13
또넔,65.09
루카4137,64.79
dnxor3359,64.76
너불B,64.76
앙버터030,64.76
Zkxjdjfk,64.4
110203,64.4
iim2734,64.4
bal****,64.38
iamkiryang,64.31
LOVE Hyun,64.31
Kimkimkim14,64.01
ete****,64.01
달빵군,64.01
jun****,64.0
노는게제일좋아친구들모여서,63.9
yui****,63.9
타냐의 여행기록,63.76
맛집놓치지않을거에요,63.62
김준우18,63.62
쭈OF,63.62
꿀꿀17,63.62
대희33,63.62
mason1121,63.61
로원이,63.39
엣티,63.26
dor****,63.23
gloomyori,63.23
art7,63.23
In Anarchy,63.23
푸하하하핫69,63.22
똥굥똥굥똥냠냠,63.21
뤠먼,63.17
민트초코조하,63.13
bun****,62.84
ssombb,62.84
xxl****,62.81
ga3458,62.81
하이soso,62.62
얀0,62.61
닉네임뭐라할까,62.61
뿌잉뿌잉941,62.61
커피는아메리카노,62.48
행복케용zz,62.45
indong74,62.44
ghddnwls123571,62.41
강씨아쟈,62.41
영군8,62.05
쁠리원74,62.05
nat****,62.05
디발라30,62.05
호랭이86,62.03
ks****,61.66
밀848,61.66
황정아31,61.65
파닭맨21,61.65
서현짱19,61.63
스텔라S2S2,61.63
cww****,61.61
설량260913,61.61
미미H,61.61
김치밥533,61.56
yoonhhj,61.56
우지우지51,61.56
ehgml234,61.56
wst****,61.25
SOONSOUND,61.25
이경빈61,61.23
찐찐두빵,61.23
bab****,61.23
포은,61.2
대한민국 컬링 화이팅,61.2
김석준66,61.2
햇볕이 참 좋아,61.04
우경하맘82,61.0
곤약장조림덮밥,60.85
해피밍블리,60.83
sm****,60.83
yuuuunnsss,60.83
마늘요미,60.83
김유경8,60.83
kde****,60.8
jjw****,60.8
지남이8861,60.8
lov****,60.7
챙이맘11,60.5
귀찮은 노른자,60.42
행복한 우리25,60.39
맛있게먹자구,60.36
sky****,60.36
임봄당,60.35
태풍낭랑,60.13
gu****,60.09
프로도 님,60.09
sul****,60.05
긍정의맛도리,60.02
꼼지락맘10,59.98
숲의향기18,59.86
당근요정2,59.84
풍로초10,59.83
미르마미72,59.64
yeolum,59.64
파인예쁠,59.64
봉봉이1344,59.61
ddd****,59.61
외출하기,59.58
al0513,59.58
더워9060,59.56
현블리또,59.56
랑쉘이,59.56
디자인하움,59.56
kmr****,59.44
Agatha23,59.27
안젤라8454,59.23
Congg,59.2
광채나는 다람쥐,59.12
앤초,58.94
이하늘2282,58.83
매화6421,58.8
림포네,58.8
파이뚜이,58.8
syj****,58.8
올리비아59,58.8
영20202,58.8
Bellabot,58.78
이정화637,58.73
직직폭폭,58.73
o민봉이o,58.42
강남18,58.42
펭귄0708,58.39
이은주3078,58.37
쏭쏭9995,58.33
이주희3782,58.32
건강한나를만들자,58.32
혜워니7674,58.19
메일용31,58.04
효다르크,58.02
하늘에서 빛나는 별,58.02
ㄹㅁㄹㄱ,58.02
osj****,58.02
yu****,58.0
비밀이야078,58.0
tuip1233,58.0
jjspeo,57.95
희서6012,57.95
짖꿋소,57.9
tulip070809,57.88
퐈잉,57.75
맛난거다주세용,57.64
shi****,57.61
pdh****,57.57
영호맘,57.54
sangye202,57.22
SJK93,57.12
복숭아좋아,57.12
룰루85,57.1
현민1225,57.05
ㅎ8029,57.05
울산EVO,57.05
Maverick33,57.05
김하이블로그,57.05
두두두,56.97
hae****,56.97
이야에로,56.97
tma****,56.84
orz2080,56.83
kkyng258,56.76
해결사90,56.76
sco****,56.76
윤기나는,56.63
앗앗81,56.63
씬스타,56.63
만복제갈,56.55
비4624,56.55
읍수,56.34
yan****,56.34
gyw****,56.34
빠워로떼걸,56.31
토마토콜,56.25
예라28,56.2
혜린8,56.2
hyu****,56.05
갱갱1038,56.05
khk09030,56.05
헤이헤이헤이31,55.98
좋은사람737,55.98
ioioio2,55.92
j ehye,55.92
Be happy16,55.91
aldud346637,55.85
킹선형,55.78
매니아8519,55.78
화리팅,55.78
이미희59,55.78
두두앨리스,55.63
명크박스,55.62
ho0002ho,55.56
djr****,55.49
아진니모,55.42
리어왕쫍,55.35
csn1004,55.35
뚜벅이347,55.27
Daystar17,55.26
이징니,55.25
bic****,55.21
냠나남,55.14
woozzing91,55.14
종0l,55.14
명필유,55.13
안전빵1,55.13
shin022912,55.08
딸기1021,55.07
솔레,55.07
미니하루콩,55.04
엄청난부자,55.02
준재밍,55.0
개리무어,54.99
풍성머리인,54.99
태공망3689,54.92
악어새44,54.85
nu****,54.71
pine486,54.67
민4498,54.64
1231798,54.64
ㄸㄹㅅ,54.64
P GALGOL,54.57
고회장s,54.52
ski****,54.48
ChesseBread,54.47
ufi****,54.35
담아보다,54.24
영진그램,54.22
cyj2252,54.21
천리향6889,54.21
qpsfl0611,54.21
대운98,54.21
yuyujeong,54.13
평정심777,54.07
이큐치짬,53.86
동욱민,53.86
이끼낀일요일,53.83
뽀6418,53.79
bss72762,53.79
dg18,53.79
루떼84,53.43
화해14,53.43
yj3****,53.43
Blak48,53.36
에엥엥,53.36
gog****,53.36
mydandelions,53.36
규지니7,53.36
카리스마2812,53.35
add****,53.33
현2르,53.29
gos****,53.29
sam****,53.29
faf****,53.27
tet****,53.27
주디4977,53.27
박상민535,53.27
GKD,53.17
돌핀미소,53.06
weee00,53.01
마르첼16,52.92
그럭저럭삶,52.92
votmdnjem03579,52.92
AnnwithE,52.87
니나노9430,52.76
역적참새,52.73
wlgur8419,52.73
비니9169,52.71
만능소녀,52.57
